taxi.data_prog_dayofmonth.zone_id,taxi.data_prog_dayofmonth.year,taxi.data_prog_dayofmonth.month,taxi.data_prog_dayofmonth.day,taxi.data_prog_dayofmonth.count
1,2010,2,28,5457
1,2010,5,29,5691
1,2010,8,30,5731
1,2011,2,7,6109
1,2011,5,8,7438
1,2011,8,9,6921
1,2011,11,10,7587
1,2012,1,17,7503
1,2012,4,18,7889
1,2012,7,19,8083
1,2012,10,20,7087
1,2013,3,28,7854
1,2013,6,29,7216
1,2013,9,30,10652
1,2013,12,31,7069
1,2010,5,30,5332
1,2010,8,31,5604
1,2010,12,1,5830
1,2011,2,8,4948
1,2011,5,9,8206
1,2011,8,10,7046
1,2011,11,11,7151
1,2012,1,18,6211
1,2012,4,19,7772
1,2012,7,20,7473
1,2012,10,21,8673
1,2013,3,29,7530
1,2013,6,30,7743
1,2010,5,31,7062
1,2010,9,1,5430
1,2010,12,2,6082
1,2011,2,9,4647
1,2011,5,10,6650
1,2011,8,11,6891
1,2011,11,12,5692
1,2012,1,19,5976
1,2012,4,20,7400
1,2012,7,21,6419
1,2012,10,22,9516
1,2013,3,30,5944
1,2013,10,1,8782
1,2010,6,1,7950
1,2010,9,2,5873
1,2010,12,3,5574
1,2011,2,10,5437
1,2011,5,11,6569
1,2011,8,12,7109
1,2011,11,13,7428
1,2012,1,20,6180
1,2012,4,21,6129
1,2012,7,22,7749
1,2012,10,23,8203
1,2013,3,31,7374
1,2013,7,1,8236
1,2013,10,2,8252
1,2010,3,1,2398
1,2010,6,2,6451
1,2010,9,3,5466
1,2010,12,4,4798
1,2011,2,11,5758
1,2011,5,12,7127
1,2011,8,13,6204
1,2011,11,14,8318
1,2012,1,21,5423
1,2012,4,22,7581
1,2012,7,23,9016
1,2012,10,24,7865
1,2013,4,1,9510
1,2013,7,2,6661
1,2013,10,3,8454
1,2010,3,2,1876
1,2010,6,3,5726
1,2010,9,4,4905
1,2010,12,5,6104
1,2011,2,12,4994
1,2011,5,13,7220
1,2011,8,14,3356
1,2011,11,15,7143
1,2012,1,22,6603
1,2012,4,23,9383
1,2012,7,24,7548
1,2012,10,25,8533
1,2013,1,1,8298
1,2013,4,2,9291
1,2013,7,3,6521
1,2013,10,4,8504
1,2010,3,3,1883
1,2010,6,4,5605
1,2010,9,5,5306
1,2010,12,6,6808
1,2011,2,13,6218
1,2011,5,14,6620
1,2011,8,15,9103
1,2011,11,16,6710
1,2012,1,23,7346
1,2012,4,24,7997
1,2012,7,25,7075
1,2012,10,26,8370
1,2013,1,2,9753
1,2013,4,3,8255
1,2013,7,4,5570
1,2013,10,5,6899
1,2010,3,4,1716
1,2010,6,5,4903
1,2010,9,6,3707
1,2010,12,7,5703
1,2011,2,14,6377
1,2011,5,15,7632
1,2011,8,16,7809
1,2011,11,17,6929
1,2012,1,24,5859
1,2012,4,25,7658
1,2012,7,26,7058
1,2012,10,27,6853
1,2013,1,3,8612
1,2013,4,4,8022
1,2013,7,5,5327
1,2013,10,6,9279
1,2010,3,5,1843
1,2010,6,6,7263
1,2010,9,7,6367
1,2010,12,8,5598
1,2011,2,15,5492
1,2011,5,16,8883
1,2011,8,17,7114
1,2011,11,18,7124
1,2012,1,25,5805
1,2012,4,26,7544
1,2012,7,27,8347
1,2012,10,28,6919
1,2013,1,4,7580
1,2013,4,5,7726
1,2013,7,6,6175
1,2013,10,7,9591
1,2010,3,6,1533
1,2010,6,7,8010
1,2010,9,8,5642
1,2010,12,9,5880
1,2011,2,16,5198
1,2011,5,17,7391
1,2011,8,18,6762
1,2011,11,19,5922
1,2012,1,26,6091
1,2012,4,27,7610
1,2012,7,28,6528
1,2012,10,29,199
1,2013,1,5,7766
1,2013,4,6,6464
1,2013,7,7,9094
1,2013,10,8,8047
1,2010,3,7,2271
1,2010,6,8,6897
1,2010,9,9,5651
1,2010,12,10,5896
1,2011,2,17,5881
1,2011,5,18,7271
1,2011,8,19,7536
1,2011,11,20,6642
1,2012,1,27,6307
1,2012,4,28,6464
1,2012,7,29,7458
1,2012,10,30,97
1,2013,1,6,8450
1,2013,4,7,8260
1,2013,7,8,10775
1,2013,10,9,8341
1,2010,3,8,5772
1,2010,6,9,6395
1,2010,9,10,5399
1,2010,12,11,4773
1,2011,2,18,6543
1,2011,5,19,7448
1,2011,8,20,7529
1,2011,11,21,6698
1,2012,1,28,5105
1,2012,4,29,7881
1,2012,7,30,8742
1,2012,10,31,4924
1,2013,1,7,8682
1,2013,4,8,8722
1,2013,7,9,8334
1,2013,10,10,8658
1,2010,3,9,5046
1,2010,6,10,6527
1,2010,9,11,5783
1,2010,12,12,5666
1,2011,2,19,5120
1,2011,5,20,7454
1,2011,8,21,3569
1,2011,11,22,6310
1,2012,1,29,6403
1,2012,4,30,8941
1,2012,7,31,7247
1,2012,11,1,8110
1,2013,1,8,7132
1,2013,4,9,7107
1,2013,7,10,7359
1,2013,10,11,8864
1,2010,3,10,4771
1,2010,6,11,6647
1,2010,9,12,5099
1,2010,12,13,6844
1,2011,2,20,5650
1,2011,5,21,6586
1,2011,8,22,9193
1,2011,11,23,6336
1,2012,1,30,7112
1,2012,8,1,7197
1,2012,11,2,7973
1,2013,1,9,6800
1,2013,4,10,6615
1,2013,7,11,8052
1,2013,10,12,7576
1,2010,3,11,5010
1,2010,6,12,5492
1,2010,9,13,4925
1,2010,12,14,5555
1,2011,2,21,7608
1,2011,5,22,7942
1,2011,8,23,7559
1,2011,11,24,4925
1,2012,1,31,5737
1,2012,5,1,7452
1,2012,8,2,7427
1,2012,11,3,7039
1,2013,1,10,7132
1,2013,4,11,8909
1,2013,7,12,7297
1,2013,10,13,8413
1,2010,3,12,5185
1,2010,6,13,7091
1,2010,9,14,5680
1,2010,12,15,5317
1,2011,2,22,7173
1,2011,5,23,8462
1,2011,8,24,7487
1,2011,11,25,4784
1,2012,2,1,5420
1,2012,5,2,7040
1,2012,8,3,7217
1,2012,11,4,7217
1,2013,1,11,7210
1,2013,4,12,7803
1,2013,7,13,6488
1,2013,10,14,10179
1,2010,3,13,4280
1,2010,6,14,8126
1,2010,9,15,6010
1,2010,12,16,5670
1,2011,2,23,5659
1,2011,5,24,7250
1,2011,8,25,7437
1,2011,11,26,7023
1,2012,2,2,5434
1,2012,5,3,7199
1,2012,8,4,6338
1,2012,11,5,7617
1,2013,1,12,6710
1,2013,4,13,6588
1,2013,7,14,8059
1,2013,10,15,8818
1,2010,3,14,6467
1,2010,6,15,6533
1,2010,9,16,5934
1,2010,12,17,5952
1,2011,2,24,6015
1,2011,5,25,6873
1,2011,8,26,7810
1,2011,11,27,9447
1,2012,2,3,5735
1,2012,5,4,7484
1,2012,8,5,7589
1,2012,11,6,6680
1,2013,1,13,7731
1,2013,4,14,8120
1,2013,7,15,9001
1,2013,10,16,8311
1,2010,3,15,7412
1,2010,6,16,6475
1,2010,9,17,6466
1,2010,12,18,5204
1,2011,2,25,6152
1,2011,5,26,7165
1,2011,8,27,2148
1,2011,11,28,10365
1,2012,2,4,4707
1,2012,5,5,6256
1,2012,8,6,9332
1,2012,11,7,4659
1,2013,1,14,8702
1,2013,4,15,8968
1,2013,7,16,7242
1,2013,10,17,8800
1,2010,3,16,5862
1,2010,6,17,6552
1,2010,9,18,6504
1,2010,12,19,5589
1,2011,2,26,5285
1,2011,5,27,7238
1,2011,8,28,10
1,2011,11,29,8212
1,2012,2,5,5980
1,2012,5,6,7456
1,2012,8,7,7591
1,2012,11,8,8142
1,2013,1,15,6760
1,2013,4,16,7416
1,2013,7,17,7174
1,2013,10,18,8745
1,2010,3,17,5450
1,2010,6,18,6687
1,2010,9,19,11269
1,2010,12,20,5507
1,2011,2,27,6634
1,2011,5,28,6008
1,2011,8,29,6751
1,2011,11,30,7042
1,2012,2,6,7105
1,2012,5,7,8869
1,2012,8,8,7062
1,2012,11,9,8193
1,2013,1,16,6527
1,2013,4,17,7229
1,2013,7,18,7536
1,2013,10,19,7158
1,2010,3,18,5669
1,2010,6,19,5696
1,2010,9,20,9044
1,2010,12,21,4918
1,2011,2,28,7795
1,2011,5,29,5659
1,2011,8,30,8865
1,2012,2,7,5396
1,2012,5,8,6999
1,2012,8,9,7019
1,2012,11,10,6271
1,2013,1,17,7105
1,2013,4,18,7538
1,2013,7,19,7680
1,2013,10,20,8977
1,2010,3,19,5704
1,2010,6,20,7292
1,2010,9,21,7650
1,2010,12,22,5375
1,2011,5,30,8565
1,2011,8,31,7951
1,2011,12,1,7005
1,2012,2,8,5539
1,2012,5,9,6904
1,2012,8,10,8045
1,2012,11,11,7659
1,2013,1,18,6970
1,2013,4,19,8035
1,2013,7,20,6662
1,2013,10,21,9307
1,2010,3,20,4918
1,2010,6,21,7943
1,2010,9,22,7278
1,2010,12,23,5467
1,2011,5,31,8975
1,2011,9,1,7652
1,2011,12,2,6899
1,2012,2,9,6101
1,2012,5,10,7336
1,2012,8,11,7175
1,2012,11,12,8264
1,2013,1,19,6162
1,2013,4,20,6820
1,2013,7,21,8182
1,2013,10,22,7852
1,2010,3,21,6550
1,2010,6,22,6573
1,2010,9,23,8350
1,2010,12,24,4106
1,2011,6,1,7481
1,2011,9,2,8012
1,2011,12,3,5721
1,2012,2,10,6644
1,2012,5,11,7376
1,2012,8,12,8065
1,2012,11,13,8083
1,2013,1,20,6420
1,2013,4,21,7917
1,2013,7,22,9184
1,2013,10,23,8001
1,2010,3,22,6747
1,2010,6,23,6753
1,2010,9,24,8256
1,2010,12,25,3809
1,2011,3,1,6599
1,2011,6,2,6938
1,2011,9,3,6718
1,2011,12,4,7130
1,2012,2,11,5486
1,2012,5,12,6396
1,2012,8,13,8973
1,2012,11,14,7536
1,2013,1,21,9041
1,2013,4,22,8977
1,2013,7,23,8175
1,2013,10,24,8352
1,2010,3,23,6283
1,2010,6,24,6638
1,2010,9,25,7586
1,2010,12,26,2677
1,2011,3,2,6341
1,2011,6,3,6623
1,2011,9,4,7086
1,2011,12,5,7663
1,2012,2,12,6811
1,2012,5,13,7838
1,2012,8,14,7506
1,2012,11,15,8215
1,2013,1,22,8497
1,2013,4,23,8139
1,2013,7,24,8114
1,2013,10,25,8349
1,2010,3,24,5201
1,2010,6,25,7279
1,2010,9,26,9019
1,2010,12,27,1288
1,2011,3,3,6051
1,2011,6,4,6021
1,2011,9,5,9303
1,2011,12,6,6577
1,2012,2,13,7267
1,2012,5,14,9224
1,2012,8,15,7612
1,2012,11,16,8464
1,2013,1,23,6925
1,2013,4,24,7296
1,2013,7,25,7618
1,2013,10,26,6906
1,2010,3,25,5766
1,2010,6,26,5958
1,2010,9,27,6815
1,2010,12,28,6990
1,2011,3,4,6544
1,2011,6,5,8048
1,2011,9,6,8542
1,2011,12,7,6095
1,2012,2,14,5827
1,2012,5,15,7500
1,2012,8,16,8247
1,2012,11,17,6991
1,2013,1,24,7776
1,2013,4,25,8260
1,2013,7,26,7591
1,2013,10,27,8586
1,2010,3,26,5577
1,2010,6,27,7188
1,2010,9,28,6288
1,2010,12,29,8211
1,2011,3,5,5459
1,2011,6,6,8697
1,2011,9,7,7668
1,2011,12,8,7154
1,2012,2,15,6306
1,2012,5,16,7773
1,2012,8,17,8058
1,2012,11,18,7746
1,2013,1,25,7409
1,2013,4,26,8193
1,2013,7,27,6249
1,2013,10,28,9139
1,2010,3,27,4651
1,2010,6,28,7895
1,2010,9,29,5984
1,2010,12,30,7494
1,2011,3,6,6228
1,2011,6,7,7650
1,2011,9,8,8123
1,2011,12,9,7010
1,2012,2,16,6612
1,2012,5,17,7774
1,2012,8,18,6972
1,2012,11,19,7570
1,2013,1,26,6616
1,2013,4,27,6767
1,2013,7,28,7852
1,2013,10,29,7239
1,2010,3,28,4908
1,2010,6,29,6609
1,2010,9,30,5587
1,2010,12,31,7052
1,2011,3,7,8748
1,2011,6,8,6686
1,2011,9,9,7406
1,2011,12,10,5561
1,2012,2,17,7123
1,2012,5,18,7558
1,2012,8,19,8388
1,2012,11,20,7255
1,2013,1,27,7617
1,2013,4,28,8407
1,2013,7,29,9145
1,2013,10,30,7451
1,2010,3,29,5801
1,2010,6,30,6315
1,2011,3,8,6055
1,2011,6,9,6190
1,2011,9,10,6334
1,2011,12,11,6867
1,2012,2,18,5592
1,2012,5,19,6251
1,2012,8,20,9171
1,2012,11,21,7253
1,2013,1,28,8216
1,2013,4,29,9361
1,2013,7,30,7373
1,2013,10,31,7622
1,2010,3,30,5355
1,2010,10,1,2746
1,2011,3,9,5923
1,2011,6,10,8329
1,2011,9,11,7462
1,2011,12,12,7555
1,2012,2,19,5886
1,2012,5,20,7992
1,2012,8,21,7734
1,2012,11,22,5214
1,2013,1,29,6446
1,2013,4,30,8060
1,2013,7,31,7105
1,2013,11,1,7810
1,2010,3,31,5492
1,2010,7,1,6366
1,2010,10,2,2119
1,2011,3,10,5632
1,2011,6,11,5941
1,2011,9,12,8586
1,2011,12,13,6109
1,2012,2,20,8609
1,2012,5,21,8857
1,2012,8,22,7602
1,2012,11,23,5209
1,2013,1,30,5859
1,2013,8,1,4115
1,2013,11,2,6254
1,2010,4,1,6447
1,2010,7,2,5994
1,2010,10,3,2766
1,2011,3,11,7470
1,2011,6,12,7590
1,2011,9,13,7128
1,2011,12,14,6418
1,2012,2,21,7832
1,2012,5,22,7251
1,2012,8,23,8046
1,2012,11,24,7394
1,2013,1,31,6785
1,2013,5,1,8212
1,2013,8,2,3518
1,2013,11,3,8093
1,2010,1,1,4789
1,2010,4,2,5492
1,2010,7,3,4701
1,2010,10,4,7073
1,2011,3,12,5558
1,2011,6,13,8669
1,2011,9,14,7178
1,2011,12,15,6621
1,2012,2,22,6627
1,2012,5,23,7452
1,2012,8,24,8168
1,2012,11,25,10810
1,2013,2,1,6647
1,2013,5,2,8088
1,2013,8,3,3085
1,2013,11,4,9133
1,2010,1,2,5418
1,2010,4,3,4396
1,2010,7,4,4953
1,2010,10,5,6122
1,2011,3,13,7277
1,2011,6,14,6929
1,2011,9,15,7701
1,2011,12,16,6708
1,2012,2,23,7003
1,2012,5,24,7659
1,2012,8,25,7732
1,2012,11,26,11530
1,2013,2,2,5452
1,2013,5,3,8157
1,2013,8,4,3793
1,2013,11,5,7454
1,2010,1,3,6884
1,2010,4,4,5836
1,2010,7,5,7291
1,2010,10,6,5898
1,2011,3,14,7674
1,2011,6,15,6721
1,2011,9,16,7888
1,2011,12,17,5595
1,2012,2,24,6726
1,2012,5,25,7202
1,2012,8,26,8335
1,2012,11,27,8619
1,2013,2,3,6934
1,2013,5,4,6462
1,2013,8,5,8835
1,2013,11,6,7262
1,2010,1,4,7530
1,2010,4,5,6695
1,2010,7,6,7760
1,2010,10,7,6287
1,2011,3,15,6503
1,2011,6,16,6765
1,2011,9,17,6559
1,2011,12,18,6119
1,2012,2,25,5820
1,2012,5,26,5536
1,2012,8,27,8955
1,2012,11,28,7589
1,2013,2,4,7744
1,2013,5,5,8448
1,2013,8,6,7586
1,2013,11,7,7873
1,2010,1,5,6269
1,2010,4,6,6380
1,2010,7,7,5961
1,2010,10,8,6394
1,2011,3,16,6628
1,2011,6,17,6592
1,2011,9,18,8171
1,2011,12,19,6080
1,2012,2,26,7308
1,2012,5,27,5846
1,2012,8,28,8043
1,2012,11,29,7195
1,2013,2,5,6300
1,2013,5,6,9149
1,2013,8,7,7387
1,2013,11,8,8021
1,2010,1,6,5410
1,2010,4,7,6269
1,2010,7,8,5567
1,2010,10,9,5251
1,2011,3,17,6932
1,2011,6,18,6907
1,2011,9,19,8550
1,2011,12,20,5244
1,2012,2,27,8681
1,2012,5,28,8779
1,2012,8,29,7659
1,2012,11,30,7467
1,2013,2,6,5910
1,2013,5,7,7778
1,2013,8,8,7789
1,2013,11,9,6442
1,2010,1,7,5257
1,2010,4,8,5895
1,2010,7,9,5927
1,2010,10,10,6425
1,2011,3,18,6867
1,2011,6,19,7941
1,2011,9,20,7030
1,2011,12,21,5626
1,2012,2,28,7140
1,2012,5,29,8898
1,2012,8,30,8246
1,2013,2,7,6700
1,2013,5,8,7564
1,2013,8,9,8036
1,2013,11,10,8089
1,2010,1,8,4962
1,2010,4,9,5930
1,2010,7,10,5299
1,2010,10,11,6896
1,2011,3,19,6122
1,2011,6,20,8891
1,2011,9,21,6718
1,2011,12,22,5770
1,2012,2,29,7035
1,2012,5,30,8487
1,2012,8,31,8358
1,2012,12,1,6479
1,2013,2,8,3693
1,2013,5,9,8297
1,2013,8,10,6925
1,2013,11,11,9198
1,2010,1,9,4667
1,2010,4,10,4653
1,2010,7,11,7436
1,2010,10,12,7265
1,2011,3,20,7850
1,2011,6,21,6668
1,2011,9,22,7077
1,2011,12,23,5380
1,2012,5,31,7273
1,2012,9,1,7337
1,2012,12,2,7603
1,2013,2,9,5317
1,2013,5,10,7595
1,2013,8,11,4517
1,2013,11,12,7408
1,2010,1,10,5791
1,2010,4,11,6106
1,2010,7,12,8459
1,2010,10,13,5779
1,2011,3,21,8290
1,2011,6,22,6920
1,2011,9,23,7401
1,2011,12,24,4115
1,2012,6,1,7373
1,2012,9,2,7213
1,2012,12,3,8442
1,2013,2,10,7627
1,2013,5,11,6457
1,2013,8,12,9416
1,2013,11,13,6806
1,2010,1,11,5976
1,2010,4,12,6490
1,2010,7,13,7538
1,2010,10,14,5931
1,2011,3,22,6743
1,2011,6,23,7229
1,2011,9,24,6219
1,2011,12,25,3787
1,2012,3,1,7188
1,2012,6,2,6376
1,2012,9,3,9946
1,2012,12,4,6718
1,2013,2,11,8105
1,2013,5,12,8570
1,2013,8,13,8057
1,2013,11,14,7290
